ElastomerID,PITTagID,FinalID,OldNew,Date,Stream,Reach,SurNum,Primary,Species,Sex,RawLongLoc,CorrLongLoc,Stage,Meso,LatLoc,SubSize,SubType,Metamorph,TailRemoved,TailRegrown,FieldSVL,PhotoSVL,MassMg,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,TailHeight,Photo,Photo2,Photo3,Tissue,Diet,CORT,Notes,Remove,Reason,Action,Last3Digits
GBB1-2,NA,GBB1-2,N,7/7/2013,Bear,Lower,10,4,GP,NA,483,483,L,RF,WE,120,R,N,2,0,NA,36.08,1100,9.21,5.87,20.66,5.42,NA,1.63,NA,NA,104-292-293,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-3,NA,GBB1-2-3,N,7/17/2013,Bear,Lower,12,4,GP,NA,293,293,L,PL,T,80,R,N,0,0,NA,43.89,2300,10.44,8.1,28.01,7.74,2.21,1.73,NA,NA,104-696-697,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-3,NA,GBB1-2-3,O,8/1/2013,Bear,Lower,13,5,GP,NA,293,293,L,PL,WE,270,R,N,3,0,NA,44.01,1900,10.37,8.49,28.17,7.63,2.05,1.25,NA,NA,105-030-031,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-4,NA,GBB1-2-4,N,7/17/2013,Bear,Lower,12,4,GP,NA,314,314,L,RF,WE,200,R,N,0,0,NA,50.87,2600,13.48,9.85,31.13,8.84,2.86,NA,NA,NA,104-698-699,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-4O3,NA,GBB1-2-4O3,N,6/15/2015,Bear,Upper,28,10,GP,NA,211,1111,L,RF,WE,300,R,N,0,0,NA,62.83,6300,13.77,10.44,43.74,9.95,4.09,3.85,NA,NA,(105)974-975,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-5,NA,GBB1-2-5,N,7/17/2013,Bear,Lower,12,4,GP,NA,329,329,L,PL,WE,200,R,N,0,0,NA,56.49,4300,13.78,10.58,35.27,10.24,2.84,3.15,NA,NA,104-702-703,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-6,NA,GBB1-2-6,N,7/17/2013,Bear,Lower,12,4,GP,NA,340,340,L,PL,T,450,R,N,0,0,NA,53.66,4200,13.31,10.11,33.45,10.02,3.53,3.57,NA,NA,104-704-705,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-7,NA,GBB1-2-7,N,7/17/2013,Bear,Lower,12,4,GP,NA,386,386,L,RF,T,300,R,N,0,0,NA,59.65,5400,14.29,11.05,38.56,10.17,4.49,5.81,NA,NA,104-710-711,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2-8,NA,GBB1-2-8,N,7/17/2013,Bear,Lower,12,4,GP,NA,383,383,L,RF,WE,400,R,N,0,0,NA,66.58,6400,15.76,11.35,42.1,11.15,4.79,5.42,NA,NA,104-712-713,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O3,NA,GBB1-2O3,N,6/15/2015,Bear,Upper,28,10,GP,NA,158,1058,L,PL,WE,400,R,N,0,0,NA,48.71,2900,12.28,8.94,33.41,8.09,3.41,2.58,NA,NA,(105)970-971,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O4,NA,GBB1-2O4,N,6/15/2015,Bear,Upper,28,10,GP,F,216,1116,A,RF,T,300,R,N,0,0,NA,65.4,5000,17.02,10.18,43.71,10.5,4.19,3.85,NA,NA,(105)976-978,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O5,NA,GBB1-2O5,N,6/15/2015,Bear,Upper,28,10,GP,F,234,1134,A,RF,WE,150,R,N,10,5,NA,76.55,7300,17.51,11.4,52.17,11.97,5.48,3.86,NA,NA,(105)979-981,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O6,NA,GBB1-2O6,N,6/15/2015,Bear,Upper,28,10,GP,F,301,1201,A,RF,WE,450,R,N,0,0,NA,74.26,7800,19.32,11.83,49.59,12.35,5.12,4.99,NA,NA,(105)986-987,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O6,NA,GBB1-2O6,O,8/8/2015,Bear,Upper,34,12,GP,NA,300,1200,A,PL,WE,300,R,N,5,1,NA,76.99,7400,19.19,12.67,54.22,12.23,5.33,5.84,NA,NA,(108)465-466,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O7,NA,GBB1-2O7,N,6/15/2015,Bear,Upper,28,10,GP,F,347,1247,A,RF,WE,250,R,N,0,0,NA,60.39,5000,16.06,10.04,41.32,9.6,4.63,4.39,NA,NA,(105)990-991,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O8,NA,GBB1-2O8,N,6/27/2015,Bear,Upper,29,10,GP,NA,133,1033,L,RF,T,300,R,N,5,5,NA,64.16,6100,13.93,11.72,45.37,11.1,4.78,4.39,NA,NA,(106)137-138,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-2O8,GP999002018052087,GBB1-2O8,O,7/10/2018,Bear,Upper,40,14,GP,M,134,1034,A,PL,WE,400,R,N,0,0,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,1090470,NA,NA,Y,Y,NA,Photo accidentally deleted from SD card - missing,N,NA,NA,87
GBB1-3,NA,GBB1-3,N,7/13/2013,Bear,Lower,11,4,GP,NA,58,58,L,PL,T,300,R,N,5,0,NA,58.07,3600,12.79,10.74,37.56,9.79,3.27,2.74,NA,NA,104-433-435,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3,NA,GBB1-3,O,8/11/2013,Bear,Lower,15,5,GP,NA,56,56,L,RF,WE,350,R,N,10,3,NA,60.97,4400,14.78,10.4,38.77,9.33,3.22,2.73,NA,NA,105-299-300,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3,NA,GBB1-3,O,6/22/2014,Bear,Lower,19,7,GP,NA,56,56,L,PL,T,400,R,N,0,0,NA,58.6,6400,14.05,9.92,37.01,9.76,2.91,2.43,NA,NA,106-380-382,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-3-4,NA,GBB1-3-4,N,7/17/2013,Bear,Lower,12,4,GP,NA,453,453,L,RF,WE,450,R,N,0,0,NA,46.53,2300,11.93,9.3,28.81,7.99,2.33,2.34,NA,NA,104-714-716,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
